"profession","work_format","vacancies","avg_salary","median","v1","v3","iqr","min_salary","max_salary"
Backend Developer,Гибрид,236,111799,98000,69750,137125,67375,30000,374000
Backend Developer,Офис,253,108897,98000,62000,140500,78500,30000,365000
Backend Developer,Удалённо,206,121172,107500,72500,156250,83750,30000,405000
Data Analyst,Гибрид,236,96049,89250,57000,122625,65625,30000,318000
Data Analyst,Офис,239,91370,78000,54250,118250,64000,30000,294000
Data Analyst,Удалённо,206,102971,85500,56125,136875,80750,30000,328000
Data Engineer,Гибрид,141,126933,114500,68000,179000,111000,30000,358000
Data Engineer,Офис,148,118253,104000,69250,154125,84875,30000,357000
Data Engineer,Удалённо,158,131576,117500,77000,155875,78875,34000,408000
Data Scientist,Гибрид,174,123779,113500,74125,157500,83375,30000,384000
Data Scientist,Офис,166,118229,102250,67125,153250,86125,30000,397000
Data Scientist,Удалённо,145,133831,116500,80000,182500,102500,33000,416000
DevOps Engineer,Гибрид,175,121591,100500,72750,157750,85000,30000,380000
DevOps Engineer,Офис,175,125860,112500,69250,174000,104750,30000,342000
DevOps Engineer,Удалённо,131,132805,127000,76000,174000,98000,30000,364000
Frontend Developer,Гибрид,214,97610,88500,58250,132250,74000,30000,321000
Frontend Developer,Офис,229,100616,93000,55500,136500,81000,30000,249000
Frontend Developer,Удалённо,191,109060,98000,58750,146500,87750,30000,307000
Full-stack Developer,Гибрид,186,117355,111750,68375,157625,89250,30000,330000
Full-stack Developer,Офис,194,108845,100000,61625,134250,72625,30000,315000
Full-stack Developer,Удалённо,171,122129,107000,70500,161250,90750,30000,344000
ML Engineer,Гибрид,125,132148,122500,76000,173500,97500,34000,397000
ML Engineer,Офис,138,135464,118500,78625,171250,92625,30000,445000
ML Engineer,Удалённо,116,144388,140750,80375,167375,87000,32000,426000
Mobile Developer,Гибрид,147,96228,87500,59750,117250,57500,30000,334000
Mobile Developer,Офис,136,106592,91750,54750,143750,89000,30000,347000
Mobile Developer,Удалённо,143,114038,105000,70750,143500,72750,30000,315000
Product Manager,Гибрид,108,119944,102000,68375,149375,81000,31000,347000
Product Manager,Офис,101,112342,105500,66500,145000,78500,30000,388000
Product Manager,Удалённо,99,122601,105500,76250,158750,82500,32000,349000
QA Engineer,Гибрид,187,81091,71000,48500,103750,55250,30000,243000
QA Engineer,Офис,201,80286,73000,43000,101000,58000,30000,322000
QA Engineer,Удалённо,147,80167,68000,44500,99750,55250,30000,274000
System Analyst,Гибрид,140,94257,80250,55875,119500,63625,30000,336000
System Analyst,Офис,120,97108,88750,58250,124000,65750,30000,263000
System Analyst,Удалённо,118,103403,94500,62625,136250,73625,30000,318000
