"month_part","count_vacans","pre_month","month_growth","year_ago","year_growth"
2024-01-01,195,,,,
2024-02-01,182,195,-6.67,,
2024-03-01,191,182,4.95,,
2024-04-01,189,191,-1.05,,
2024-05-01,215,189,13.76,,
2024-06-01,200,215,-6.98,,
2024-07-01,172,200,-14.00,,
2024-08-01,187,172,8.72,,
2024-09-01,191,187,2.14,,
2024-10-01,187,191,-2.09,,
2024-11-01,189,187,1.07,,
2024-12-01,213,189,12.70,,
2025-01-01,197,213,-7.51,195,1.03
2025-02-01,187,197,-5.08,182,2.75
2025-03-01,185,187,-1.07,191,-3.14
2025-04-01,188,185,1.62,189,-0.53
2025-05-01,193,188,2.66,215,-10.23
2025-06-01,162,193,-16.06,200,-19.00
2025-07-01,185,162,14.20,172,7.56
2025-08-01,207,185,11.89,187,10.70
2025-09-01,187,207,-9.66,191,-2.09
2025-10-01,180,187,-3.74,187,-3.74
2025-11-01,162,180,-10.00,189,-14.29
2025-12-01,207,162,27.78,213,-2.82
2026-01-01,219,207,5.80,197,11.17
2026-02-01,166,219,-24.20,187,-11.23
2026-03-01,194,166,16.87,185,4.86
2026-04-01,185,194,-4.64,188,-1.60
2026-05-01,174,185,-5.95,193,-9.84
2026-06-01,165,174,-5.17,162,1.85
2026-07-01,193,165,16.97,185,4.32
2026-08-01,153,193,-20.73,207,-26.09
