"rank_level","profession","region","experience_level","count_prof","avg_salary","min_salary","max_salary"
1,ML Engineer,Москва,Junior,32,78766,52000,118000
1,ML Engineer,Москва,Lead,12,330667,222000,445000
1,ML Engineer,Москва,Middle,51,148245,81000,248000
1,ML Engineer,Москва,Senior,28,237696,156000,407000
2,Data Scientist,Москва,Junior,40,76013,43000,126000
2,Product Manager,Москва,Lead,4,289875,200000,388000
2,DevOps Engineer,Москва,Middle,59,139508,81000,262000
2,ML Engineer,Удалённо (Россия),Senior,22,227477,155000,361000
3,Data Engineer,Москва,Junior,32,73625,43000,102000
3,Data Scientist,Удалённо (Россия),Lead,5,283100,199000,416000
3,Data Scientist,Москва,Middle,63,131667,70000,211000
3,Data Scientist,Москва,Senior,38,223579,142000,328000
4,DevOps Engineer,Москва,Junior,43,73581,46000,129000
4,DevOps Engineer,Удалённо (Россия),Lead,12,282708,195000,380000
4,Data Engineer,Москва,Middle,53,131472,81000,211000
4,Product Manager,Москва,Senior,27,222167,139000,349000
5,Product Manager,Москва,Junior,33,71015,39000,99000
5,Data Engineer,Москва,Lead,15,277033,185000,408000
5,ML Engineer,Санкт-Петербург,Middle,23,130913,85000,212000
5,Data Engineer,Москва,Senior,40,219813,144000,358000
6,ML Engineer,Удалённо (Россия),Junior,31,70419,48000,103000
6,Data Scientist,Москва,Lead,13,270962,179000,397000
6,Product Manager,Москва,Middle,45,129522,80000,212000
6,DevOps Engineer,Москва,Senior,30,218850,147000,321000
7,Backend Developer,Москва,Junior,66,68659,42000,110000
7,Mobile Developer,Москва,Lead,8,264750,205000,347000
7,ML Engineer,Удалённо (Россия),Middle,39,129231,80000,198000
7,Backend Developer,Москва,Senior,48,207479,115000,301000
8,Data Scientist,Удалённо (Россия),Junior,28,68625,42000,103000
8,DevOps Engineer,Москва,Lead,9,260889,188000,343000
8,DevOps Engineer,Удалённо (Россия),Middle,41,125415,74000,186000
8,DevOps Engineer,Удалённо (Россия),Senior,28,202482,127000,349000
9,DevOps Engineer,Удалённо (Россия),Junior,36,68208,42000,100000
9,ML Engineer,Удалённо (Россия),Lead,4,260750,193000,371000
9,Data Scientist,Удалённо (Россия),Middle,34,122926,80000,166000
9,Data Scientist,Удалённо (Россия),Senior,26,200808,115000,302000
10,Data Engineer,Удалённо (Россия),Junior,27,67926,36000,102000
10,ML Engineer,Санкт-Петербург,Lead,2,255000,162000,366000
10,Data Engineer,Удалённо (Россия),Middle,42,120702,76000,185000
10,DevOps Engineer,Санкт-Петербург,Senior,28,199125,132000,277000
11,ML Engineer,Санкт-Петербург,Junior,12,64917,43000,92000
11,Backend Developer,Москва,Lead,20,254000,165000,405000
11,Full-stack Developer,Москва,Middle,72,119535,77000,205000
11,Mobile Developer,Москва,Senior,27,197593,145000,263000
12,Product Manager,Удалённо (Россия),Junior,21,63810,45000,96000
12,DevOps Engineer,Санкт-Петербург,Lead,6,251500,164000,347000
12,Backend Developer,Москва,Middle,72,119410,72000,193000
12,Data Engineer,Удалённо (Россия),Senior,21,194381,126000,327000
13,Data Scientist,Санкт-Петербург,Junior,18,63778,43000,88000
13,Full-stack Developer,Москва,Lead,18,247000,183000,344000
13,Product Manager,Удалённо (Россия),Middle,25,115520,68000,180000
13,Product Manager,Удалённо (Россия),Senior,16,194031,106000,312000
14,Data Engineer,Санкт-Петербург,Junior,22,62886,40000,100000
14,Data Engineer,Санкт-Петербург,Lead,5,243700,161000,324000
14,Data Engineer,Санкт-Петербург,Middle,24,114000,73000,177000
14,Data Engineer,Санкт-Петербург,Senior,26,193327,124000,280000
15,Mobile Developer,Москва,Junior,33,62424,42000,99000
15,ML Engineer,Новосибирск,Lead,1,243500,214000,273000
15,Product Manager,Санкт-Петербург,Middle,11,113909,76000,189000
15,ML Engineer,Санкт-Петербург,Senior,18,193306,110000,319000
16,Full-stack Developer,Москва,Junior,54,62074,30000,103000
16,Backend Developer,Удалённо (Россия),Lead,14,242214,164000,365000
16,DevOps Engineer,Санкт-Петербург,Middle,23,113783,72000,168000
16,Full-stack Developer,Москва,Senior,57,192342,101000,329000
17,Product Manager,Санкт-Петербург,Junior,14,61750,44000,85000
17,Data Scientist,Санкт-Петербург,Lead,5,238600,178000,295000
17,Mobile Developer,Москва,Middle,59,113076,63000,183000
17,Data Scientist,Санкт-Петербург,Senior,19,189737,108000,285000
18,Backend Developer,Удалённо (Россия),Junior,44,61091,35000,100000
18,Full-stack Developer,Санкт-Петербург,Lead,8,236875,179000,330000
18,Data Scientist,Санкт-Петербург,Middle,32,112609,77000,209000
18,Frontend Developer,Москва,Senior,60,177967,111000,307000
19,System Analyst,Москва,Junior,33,59985,38000,91000
19,System Analyst,Москва,Lead,6,236417,159000,336000
19,Frontend Developer,Москва,Middle,66,109371,57000,174000
19,Backend Developer,Удалённо (Россия),Senior,44,175170,108000,276000
20,Frontend Developer,Москва,Junior,48,58844,30000,86000
20,Data Engineer,Удалённо (Россия),Lead,3,236167,192000,283000
20,Backend Developer,Удалённо (Россия),Middle,60,109050,65000,167000
20,Mobile Developer,Удалённо (Россия),Senior,21,174286,102000,241000
21,Full-stack Developer,Удалённо (Россия),Junior,33,57864,35000,92000
21,Mobile Developer,Санкт-Петербург,Lead,6,233833,153000,334000
21,System Analyst,Москва,Middle,42,108821,73000,163000
21,Full-stack Developer,Удалённо (Россия),Senior,37,173432,120000,274000
22,DevOps Engineer,Санкт-Петербург,Junior,17,57029,37000,86000
22,Product Manager,Удалённо (Россия),Lead,4,231500,198000,264000
22,Mobile Developer,Удалённо (Россия),Middle,32,108281,66000,184000
22,System Analyst,Москва,Senior,30,170700,110000,249000
23,Data Analyst,Москва,Junior,66,56750,33000,87000
23,Product Manager,Санкт-Петербург,Lead,1,230000,203000,257000
23,Backend Developer,Санкт-Петербург,Middle,38,105868,63000,153000
23,Data Analyst,Москва,Senior,58,168534,102000,246000
24,Mobile Developer,Удалённо (Россия),Junior,38,56461,38000,91000
24,Backend Developer,Санкт-Петербург,Lead,8,229938,178000,304000
24,Full-stack Developer,Удалённо (Россия),Middle,44,103511,63000,158000
24,Product Manager,Санкт-Петербург,Senior,17,167559,110000,225000
25,Mobile Developer,Санкт-Петербург,Junior,14,56250,37000,79000
25,Frontend Developer,Москва,Lead,17,228412,171000,321000
25,ML Engineer,Новосибирск,Middle,14,101964,61000,143000
25,Backend Developer,Санкт-Петербург,Senior,23,166304,123000,257000
26,Backend Developer,Санкт-Петербург,Junior,31,54500,31000,86000
26,Data Analyst,Москва,Lead,23,226065,131000,328000
26,Data Analyst,Москва,Middle,74,101824,55000,170000
