"profession","skill","skill_count","prc","rank_skills"
Product Manager,agile,225,3.75,1
Data Engineer,airflow,272,4.53,2
Product Manager,analytics,221,3.68,3
DevOps Engineer,aws,302,5.03,4
System Analyst,bpmn,287,4.78,5
DevOps Engineer,ci/cd,316,5.27,6
Data Engineer,clickhouse,244,4.07,7
Product Manager,confluence,230,3.83,8
System Analyst,confluence,273,4.55,8
Frontend Developer,css,486,8.10,9
Backend Developer,docker,389,6.48,10
DevOps Engineer,docker,314,5.23,10
Data Scientist,docker,266,4.43,10
Data Engineer,docker,259,4.32,10
ML Engineer,docker,239,3.98,10
Full-stack Developer,docker,410,6.83,10
Data Analyst,excel,522,8.70,11
ML Engineer,git,365,6.08,12
Data Scientist,git,456,7.60,12
Backend Developer,git,657,10.95,12
Data Engineer,git,406,6.77,12
QA Engineer,git,515,8.58,12
Data Analyst,git,653,10.88,12
Full-stack Developer,git,530,8.83,12
System Analyst,git,364,6.07,12
Product Manager,git,296,4.93,12
Frontend Developer,git,606,10.10,12
DevOps Engineer,git,455,7.58,12
Mobile Developer,git,419,6.98,12
Frontend Developer,html,478,7.97,13
Backend Developer,java,382,6.37,14
Full-stack Developer,javascript,420,7.00,15
Frontend Developer,javascript,474,7.90,15
Product Manager,jira,242,4.03,16
System Analyst,jira,277,4.62,16
Data Engineer,kafka,245,4.08,17
Mobile Developer,kotlin,343,5.72,18
Backend Developer,kubernetes,372,6.20,19
ML Engineer,kubernetes,249,4.15,19
DevOps Engineer,kubernetes,294,4.90,19
DevOps Engineer,linux,315,5.25,20
QA Engineer,manual testing,393,6.55,21
ML Engineer,mlflow,253,4.22,22
Full-stack Developer,node.js,411,6.85,23
Data Scientist,pandas,291,4.85,24
Backend Developer,postgresql,394,6.57,25
QA Engineer,postman,408,6.80,26
Data Analyst,power bi,501,8.35,27
Data Analyst,python,499,8.32,28
Data Scientist,python,268,4.47,28
Backend Developer,python,383,6.38,28
Data Engineer,python,253,4.22,28
ML Engineer,python,254,4.23,28
QA Engineer,python,408,6.80,28
ML Engineer,pytorch,249,4.15,29
Data Scientist,pytorch,272,4.53,29
Full-stack Developer,react,407,6.78,30
Frontend Developer,react,460,7.67,30
Backend Developer,rest api,395,6.58,31
Mobile Developer,rest api,348,5.80,31
Data Scientist,scikit-learn,278,4.63,32
QA Engineer,selenium,411,6.85,33
Data Engineer,spark,252,4.20,34
Data Engineer,sql,255,4.25,35
Mobile Developer,sql,374,6.23,35
QA Engineer,sql,399,6.65,35
System Analyst,sql,277,4.62,35
Product Manager,sql,236,3.93,35
Backend Developer,sql,384,6.40,35
Data Scientist,sql,275,4.58,35
Data Analyst,sql,534,8.90,35
Full-stack Developer,sql,397,6.62,35
Data Scientist,statistics,277,4.62,36
Mobile Developer,swift,360,6.00,37
Data Analyst,tableau,508,8.47,38
ML Engineer,tensorflow,237,3.95,39
DevOps Engineer,terraform,310,5.17,40
Frontend Developer,typescript,460,7.67,41
System Analyst,uml,296,4.93,42
